objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,version_publishers,version_languages,version_yearpublished,version_nickname
"Wizard","1465","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64249121","6.6739","6.93233","0","776","14608","thing","Wizard","3","6","45","45","45","1984","3,4,5,6","4,5","10+","No necessary in-game text","","","","","","standalone","","","","",""
"Wizard Würfelspiel","286547","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","65745830","5.48783","5.32754","1","18696","243","thing","Wizard Würfelspiel","2","5","20","20","20","2019","3,4,5","","","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Wo ist das Gehirn?","176","5","2","0","1","0","0","0","0","0","0","0","3","","","","","","64390242","5.6594","5.84444","0","5576","3602","thing","Give Me the Brain!","3","8","15","15","15","2015","3,4,5,6","4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","Truant Spiele","German","2015","German edition 2015"
"Würdest du lieber ...?","267759","3","1","0","1","0","0","0","0","0","0","0","3","","","","","","69770813","0","5.075","0","0","9","thing","Würdest du lieber ...?","2","99","0","0","0","2018","","","","","","","","","","standalone","","","","",""
"Würfel Bingo","29355","0","","0","1","0","0","0","0","0","0","0","3","","","","","","74200326","5.77504","6.38058","1.2586","3983","1162","thing","Würfel Bingo","1","12","15","15","15","2007","1,2,3,4,5,6","3,4","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Würfel Bohnanza","111148","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","66711884","6.13656","6.67198","1.3143","1947","3303","thing","Würfel Bohnanza","2","5","45","45","45","0","2,3,4,5","2,3","8+","No necessary in-game text","","","","","","standalone","","AMIGO","German","0","German Spiele Hit edition"
"Würfel-WG","283795","7","4","0","1","0","0","0","0","0","0","0","3","","","","","","64951657","5.57075","6.49052","1.6667","8626","321","thing","Würfel-WG","2","4","35","0","35","2019","2,3,4","2,3","10","No necessary in-game text","","","","","","standalone","","KOSMOS","German","2019","German edition"
"Würfelland","244994","0","","0","1","0","0","0","0","0","0","0","3","","","","","","70447507","5.69389","6.4603","1","4989","777","thing","Würfelland","2","4","20","20","20","2018","2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Yahtzee","2243","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64248385","5.36672","5.40142","0","20783","21490","thing","Yahtzee","2","10","30","30","30","1956","2,3,4,5,6","3,4","6+","No necessary in-game text","","","","","","standalone","","","","",""
"You're Bluffing!","1117","0","","0","1","0","0","0","0","0","0","0","3","","","","","","74200332","6.22073","6.58083","1.6254","1680","6258","thing","You're Bluffing!","3","5","45","45","45","1985","3,4,5","5","10+","No necessary in-game text","","","","","","standalone","","","","",""
"Zombeasts","153516","0","","0","1","0","0","0","0","0","0","0","3","","","","","","64248369","5.49911","5.69089","1.6667","17411","171","thing","Zombeasts","2","4","20","20","20","2014","2,3,4","4","","No necessary in-game text","","","","","","standalone","","","","",""
"Zombie Würfel: Die Horde","224035","7","3","0","1","0","0","0","0","0","0","0","3","","","","","","64249473","5.74686","6.93427","1.0833","0","1043","thing","Zombie Dice Horde Edition","2","99","20","20","10","2019","2,3,4,5,6,7,8","4,5,6","5+","","","","","","","standalone","","Pegasus Spiele","German","2019","German edition"
"Zwei Doofe ein Gedanke","216786","0","","0","1","0","0","0","0","0","0","0","3","","","","","","81228125","0","5.093","0","0","43","thing","Zwei Doofe ein Gedanke","2","10","30","30","15","2015","","","","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
